                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.72806,                0.38523,                0.96634,                0.91993,                0.92171,                0.97083,                0.77311,                0.76693,                0.37052,                 1.0121,              0.0083566,              0.0083566,              0.0083566
                     86,                0.72816,                0.38249,                 0.9593,                0.91408,                0.93444,                0.97131,                0.77312,                0.77211,                0.36986,                  1.013,              0.0083368,              0.0083368,              0.0083368
                     87,                0.73364,                0.39259,                0.97302,                 0.9144,                0.92934,                0.97006,                0.77483,                0.75578,                0.37228,                 1.0071,               0.008317,               0.008317,               0.008317
                     88,                 0.7267,                0.38488,                0.96773,                0.90765,                0.94271,                0.97166,                0.77766,                 0.7674,                 0.3629,                 1.0143,              0.0082972,              0.0082972,              0.0082972
                     89,                0.73031,                0.38634,                0.96523,                0.92228,                0.91401,                0.97036,                0.76852,                0.76797,                0.37365,                 1.0118,              0.0082774,              0.0082774,              0.0082774
                     90,                0.72208,                0.38192,                0.96188,                0.92196,                0.91852,                0.96962,                0.77363,                0.76389,                0.37315,                 1.0119,              0.0082576,              0.0082576,              0.0082576
                     91,                0.72737,                0.38735,                0.96095,                0.91843,                0.93189,                 0.9721,                0.77761,                0.75573,                 0.3644,                 1.0023,              0.0082378,              0.0082378,              0.0082378
                     92,                0.71712,                0.38338,                0.96169,                0.90797,                0.93573,                0.97073,                0.77331,                0.76017,                0.37254,                 1.0081,               0.008218,               0.008218,               0.008218
                     93,                0.72226,                0.38208,                0.96572,                0.91432,                0.93826,                 0.9721,                0.77833,                0.75707,                0.36651,                 1.0062,              0.0081982,              0.0081982,              0.0081982
                     94,                0.72176,                0.38054,                0.96306,                0.91475,                0.92107,                  0.972,                0.77525,                  0.773,                0.37281,                 1.0117,              0.0081784,              0.0081784,              0.0081784
                     95,                0.72099,                0.38594,                0.96531,                 0.9096,                0.92934,                0.97183,                0.77423,                 0.7637,                0.36508,                 1.0123,              0.0081586,              0.0081586,              0.0081586
                     96,                0.71895,                0.37312,                 0.9566,                0.91782,                0.93571,                0.97132,                0.77311,                0.76919,                0.37143,                 1.0122,              0.0081388,              0.0081388,              0.0081388
                     97,                0.71888,                0.37615,                0.95544,                0.92311,                 0.9268,                0.97116,                0.77581,                0.76545,                0.36375,                 1.0096,               0.008119,               0.008119,               0.008119
                     98,                0.70072,                0.37638,                0.95301,                0.91771,                0.93125,                0.97046,                0.77022,                0.77279,                0.36589,                  1.014,              0.0080992,              0.0080992,              0.0080992
                     99,                0.71183,                0.38164,                0.96045,                0.89379,                0.94809,                0.97079,                0.77745,                0.75327,                0.36183,                 1.0046,              0.0080794,              0.0080794,              0.0080794
                    100,                0.72199,                0.37497,                0.96063,                0.92274,                0.91982,                0.97085,                0.77815,                0.76409,                0.36215,                 1.0068,              0.0080596,              0.0080596,              0.0080596
                    101,                0.71104,                0.37744,                0.96893,                0.90208,                0.93698,                0.97077,                0.77154,                0.77341,                0.36008,                  1.011,              0.0080398,              0.0080398,              0.0080398
                    102,                 0.7091,                0.37126,                0.95785,                0.91532,                0.92234,                0.96959,                0.77538,                0.76087,                0.36481,                 1.0102,                0.00802,                0.00802,                0.00802
                    103,                0.70659,                0.37076,                 0.9522,                0.92248,                0.91658,                0.97023,                0.77257,                0.76753,                0.36406,                 1.0095,              0.0080002,              0.0080002,              0.0080002
                    104,                0.70782,                0.37096,                0.95501,                0.90017,                0.94703,                0.97055,                0.77863,                0.75345,                0.36137,                 1.0056,              0.0079804,              0.0079804,              0.0079804
                    105,                0.70533,                  0.369,                0.95177,                0.91118,                0.93385,                0.97111,                0.77812,                 0.7555,                 0.3585,                 1.0073,              0.0079606,              0.0079606,              0.0079606
                    106,                0.69894,                0.36661,                 0.9456,                0.90697,                0.93635,                0.97122,                0.77982,                0.75826,                0.36014,                 1.0102,              0.0079408,              0.0079408,              0.0079408
                    107,                0.70807,                0.37161,                0.95313,                0.90631,                0.93189,                0.96909,                0.77035,                0.76379,                0.36594,                 1.0097,               0.007921,               0.007921,               0.007921
                    108,                0.70536,                  0.377,                0.94995,                0.90337,                0.94021,                 0.9723,                 0.7776,                0.75749,                0.35447,                 1.0038,              0.0079012,              0.0079012,              0.0079012
                    109,                0.69532,                0.37304,                0.95233,                0.91457,                0.93125,                0.97301,                0.77691,                0.76089,                0.35678,                 1.0051,              0.0078814,              0.0078814,              0.0078814
                    110,                0.69365,                0.37123,                0.95062,                0.93113,                0.91219,                0.97159,                 0.7763,                0.75881,                0.35732,                 1.0097,              0.0078616,              0.0078616,              0.0078616
                    111,                0.69501,                0.36807,                0.95291,                0.90681,                0.93635,                0.97053,                0.77458,                0.76908,                0.35839,                 1.0105,              0.0078418,              0.0078418,              0.0078418
                    112,                0.68348,                0.36067,                0.94345,                0.92015,                0.92298,                0.97114,                 0.7745,                0.76652,                0.36402,                 1.0122,               0.007822,               0.007822,               0.007822
                    113,                0.69606,                0.37078,                0.95433,                0.92768,                0.92362,                0.97234,                0.77863,                0.75474,                0.35093,                  1.005,              0.0078022,              0.0078022,              0.0078022
                    114,                0.68889,                0.37024,                0.95153,                0.90634,                0.93889,                 0.9716,                0.77492,                0.76663,                0.35692,                 1.0101,              0.0077824,              0.0077824,              0.0077824
                    115,                 0.6892,                0.35651,                0.94892,                0.90421,                0.92743,                0.96946,                0.77645,                0.76169,                0.35729,                  1.013,              0.0077626,              0.0077626,              0.0077626
                    116,                0.68551,                0.36054,                0.94252,                0.90124,                0.92934,                0.96751,                0.77363,                0.75987,                0.36056,                 1.0093,              0.0077428,              0.0077428,              0.0077428
                    117,                0.68772,                0.36324,                0.94778,                0.90521,                0.93635,                0.97264,                 0.7788,                0.76286,                0.35344,                   1.01,               0.007723,               0.007723,               0.007723
                    118,                0.67713,                0.35938,                0.94146,                0.93093,                0.91279,                0.97248,                 0.7789,                0.75959,                0.35545,                 1.0076,              0.0077032,              0.0077032,              0.0077032
                    119,                0.69181,                0.35949,                0.95052,                0.92578,                0.91407,                0.97157,                0.77692,                0.75952,                0.35381,                 1.0068,              0.0076834,              0.0076834,              0.0076834
                    120,                0.68268,                0.36034,                0.94288,                0.92609,                0.92517,                0.97194,                0.78046,                0.76496,                0.35841,                 1.0074,              0.0076636,              0.0076636,              0.0076636
                    121,                0.69357,                0.36696,                0.95267,                0.91487,                0.92998,                0.97015,                0.77563,                0.76114,                0.35627,                 1.0081,              0.0076438,              0.0076438,              0.0076438
                    122,                0.68043,                0.37451,                 0.9418,                0.91918,                0.92998,                0.96998,                0.77549,                0.76325,                0.35118,                   1.01,               0.007624,               0.007624,               0.007624
                    123,                0.67546,                0.35576,                0.94474,                0.91732,                0.93189,                 0.9716,                0.77777,                0.76945,                0.35757,                 1.0113,              0.0076042,              0.0076042,              0.0076042
                    124,                 0.6717,                0.35187,                0.94307,                0.90552,                0.93953,                0.97074,                0.77123,                0.77458,                0.35819,                 1.0155,              0.0075844,              0.0075844,              0.0075844
                    125,                0.67907,                0.36138,                0.94393,                0.90177,                0.93635,                 0.9705,                0.77561,                0.76373,                0.35761,                 1.0088,              0.0075646,              0.0075646,              0.0075646
                    126,                0.67029,                0.35734,                0.94064,                0.90215,                0.93826,                0.96757,                0.77456,                0.75989,                0.35697,                 1.0075,              0.0075448,              0.0075448,              0.0075448
                    127,                0.66413,                0.35599,                0.94092,                0.91354,                0.92743,                0.97019,                0.77438,                0.75997,                 0.3532,                 1.0135,               0.007525,               0.007525,               0.007525
                    128,                0.67507,                0.35689,                0.94297,                0.90742,                0.94206,                0.97135,                0.77957,                0.75587,                0.35012,                 1.0091,              0.0075052,              0.0075052,              0.0075052
                    129,                0.66729,                0.34832,                0.93668,                0.91938,                0.92184,                0.96904,                 0.7772,                0.76216,                 0.3561,                 1.0119,              0.0074854,              0.0074854,              0.0074854
                    130,                0.67067,                0.35258,                0.94231,                 0.9081,                0.93089,                0.97044,                0.77742,                0.76372,                0.35295,                 1.0115,              0.0074656,              0.0074656,              0.0074656
                    131,                0.66606,                0.34348,                0.93875,                0.91095,                 0.9377,                0.97083,                0.77833,                0.76202,                0.35979,                 1.0089,              0.0074458,              0.0074458,              0.0074458
                    132,                0.67575,                0.35572,                 0.9445,                0.91934,                0.93698,                0.97219,                 0.7794,                 0.7632,                 0.3591,                 1.0106,               0.007426,               0.007426,               0.007426
                    133,                0.66402,                0.34863,                0.93979,                0.90614,                0.93571,                 0.9707,                0.77785,                0.75828,                 0.3563,                 1.0081,              0.0074062,              0.0074062,              0.0074062
                    134,                0.66539,                0.34909,                0.94179,                 0.9129,                  0.934,                0.97196,                0.77693,                0.76682,                0.35522,                 1.0131,              0.0073864,              0.0073864,              0.0073864
                    135,                0.65872,                0.34548,                0.93523,                0.91927,                0.92362,                0.97016,                0.77833,                0.76615,                0.35478,                 1.0124,              0.0073666,              0.0073666,              0.0073666
                    136,                0.65622,                0.34768,                0.93245,                0.90756,                0.93125,                0.97026,                0.77966,                0.76045,                0.35019,                 1.0074,              0.0073468,              0.0073468,              0.0073468
                    137,                 0.6633,                0.34857,                 0.9348,                 0.9158,                0.92769,                0.97085,                0.77457,                0.76859,                0.35126,                 1.0088,               0.007327,               0.007327,               0.007327
                    138,                 0.6631,                0.34517,                0.93628,                0.92291,                 0.9198,                0.96853,                0.77783,                0.76572,                 0.3477,                 1.0096,              0.0073072,              0.0073072,              0.0073072
                    139,                0.65551,                0.34427,                 0.9387,                0.92821,                0.91661,                0.97001,                0.77959,                0.75994,                0.35102,                 1.0063,              0.0072874,              0.0072874,              0.0072874
                    140,                 0.6532,                 0.3449,                0.93311,                0.91474,                0.92743,                0.96964,                0.77593,                0.76855,                0.35679,                 1.0112,              0.0072676,              0.0072676,              0.0072676
                    141,                 0.6481,                0.34294,                0.93083,                 0.9073,                0.93444,                0.96941,                0.77388,                0.76769,                0.35214,                 1.0119,              0.0072478,              0.0072478,              0.0072478
                    142,                0.64311,                0.33945,                0.92468,                0.90943,                0.93253,                0.96929,                 0.7739,                 0.7738,                0.35048,                 1.0135,               0.007228,               0.007228,               0.007228
                    143,                0.65191,                0.34055,                0.93677,                 0.9142,                0.91789,                0.96854,                0.77459,                0.76815,                0.35454,                 1.0098,              0.0072082,              0.0072082,              0.0072082
                    144,                0.65476,                0.33825,                0.92745,                0.91556,                0.92482,                0.97005,                0.77504,                0.76418,                0.35236,                 1.0086,              0.0071884,              0.0071884,              0.0071884
                    145,                0.65282,                0.34735,                0.93305,                0.89237,                0.94466,                0.97017,                0.77509,                0.77508,                0.34983,                 1.0154,              0.0071686,              0.0071686,              0.0071686
                    146,                0.64743,                0.34003,                0.92681,                0.91328,                0.92298,                0.96848,                0.77613,                0.76592,                0.35373,                 1.0123,              0.0071488,              0.0071488,              0.0071488
                    147,                0.64797,                0.33704,                 0.9278,                0.91031,                0.93444,                0.96993,                0.77408,                0.77307,                0.35518,                 1.0151,               0.007129,               0.007129,               0.007129
                    148,                0.63969,                 0.3351,                0.92967,                 0.9027,                0.93507,                0.96986,                0.77671,                0.76386,                0.34728,                 1.0102,              0.0071092,              0.0071092,              0.0071092
                    149,                0.63999,                0.33574,                0.92524,                0.90988,                0.92544,                0.96772,                0.77474,                 0.7656,                0.35039,                 1.0117,              0.0070894,              0.0070894,              0.0070894
                    150,                0.64561,                0.33932,                0.92505,                0.91105,                0.93233,                0.96842,                0.77621,                0.76864,                0.35108,                 1.0151,              0.0070696,              0.0070696,              0.0070696
                    151,                0.64496,                0.33703,                 0.9273,                0.90805,                 0.9304,                0.97037,                0.77683,                0.76519,                0.34906,                  1.011,              0.0070498,              0.0070498,              0.0070498
                    152,                0.64794,                0.34023,                0.92984,                0.89392,                0.94335,                0.96926,                0.77445,                0.77018,                0.35154,                 1.0136,                0.00703,                0.00703,                0.00703
                    153,                0.64582,                0.33778,                0.93222,                0.91255,                0.92992,                0.97145,                0.77973,                0.76283,                0.34742,                 1.0109,              0.0070102,              0.0070102,              0.0070102
                    154,                0.63752,                 0.3335,                0.92438,                0.92303,                0.91661,                0.96898,                0.77915,                0.76442,                0.34896,                 1.0123,              0.0069904,              0.0069904,              0.0069904
                    155,                0.63323,                0.32988,                0.93273,                0.90333,                0.93385,                0.96929,                 0.7773,                 0.7683,                0.34838,                 1.0108,              0.0069706,              0.0069706,              0.0069706
                    156,                0.62871,                0.33319,                0.92286,                0.91214,                0.92616,                0.96871,                0.77821,                0.76055,                0.34938,                 1.0075,              0.0069508,              0.0069508,              0.0069508
                    157,                0.63533,                0.32937,                0.93083,                0.88775,                0.94144,                0.96934,                0.77712,                0.76924,                0.35337,                 1.0132,               0.006931,               0.006931,               0.006931
                    158,                0.62748,                0.33549,                0.92461,                  0.909,                0.92043,                0.96699,                0.77361,                0.77236,                0.35546,                 1.0181,              0.0069112,              0.0069112,              0.0069112
                    159,                0.63167,                0.32917,                0.92491,                0.91033,                 0.9198,                0.96737,                0.77702,                  0.763,                0.35357,                 1.0125,              0.0068914,              0.0068914,              0.0068914
                    160,                0.63523,                0.33112,                  0.917,                0.90725,                0.92743,                0.97024,                0.77696,                0.77124,                 0.3482,                 1.0169,              0.0068716,              0.0068716,              0.0068716
                    161,                0.62821,                 0.3286,                0.92579,                0.89954,                0.93478,                0.97024,                0.77338,                0.77338,                0.35099,                 1.0181,              0.0068518,              0.0068518,              0.0068518
                    162,                0.62751,                 0.3291,                0.91769,                0.92348,                0.90452,                 0.9699,                0.77621,                 0.7667,                0.35036,                 1.0134,               0.006832,               0.006832,               0.006832
                    163,                0.62228,                0.32789,                0.92283,                0.90717,                0.92059,                0.96928,                0.77516,                0.77101,                0.35198,                  1.017,              0.0068122,              0.0068122,              0.0068122
                    164,                 0.6314,                0.32583,                0.92095,                0.89507,                0.93953,                0.97021,                0.77939,                0.76676,                0.34919,                 1.0152,              0.0067924,              0.0067924,              0.0067924
                    165,                0.62397,                0.32832,                0.92301,                0.90975,                0.92402,                 0.9704,                0.77651,                 0.7626,                0.35391,                 1.0135,              0.0067726,              0.0067726,              0.0067726
                    166,                 0.6176,                0.32352,                0.91534,                0.91566,                 0.9198,                0.96763,                0.77499,                 0.7631,                0.35418,                 1.0155,              0.0067528,              0.0067528,              0.0067528
                    167,                0.61721,                0.32413,                0.92467,                0.91475,                0.92107,                0.96902,                0.77529,                0.76772,                0.35203,                 1.0151,               0.006733,               0.006733,               0.006733
                    168,                0.61201,                 0.3268,                0.92111,                0.90045,                0.93125,                0.96877,                0.77507,                0.77209,                0.35112,                 1.0195,              0.0067132,              0.0067132,              0.0067132
                    169,                0.61652,                 0.3255,                0.91644,                0.90272,                0.93189,                0.96821,                0.77655,                0.76758,                0.34734,                 1.0188,              0.0066934,              0.0066934,              0.0066934
                    170,                0.61302,                0.31928,                 0.9211,                0.90471,                0.93672,                0.96869,                0.77514,                0.77281,                  0.348,                 1.0204,              0.0066736,              0.0066736,              0.0066736
